alias,name,id
A10,Atlantic 10,9616af52-881e-4a62-a6ca-ed870a38f2be
ACC,Atlantic Coast Conference,06a05f13-758b-4978-bfba-81bf6d562cb0
AE,America East,2a95301f-bcf6-4964-9c0d-41ecde78f2ed
ASun,ASUN,ba80bc7d-0d39-44db-b6a7-97c1ef06f6ed
Amer,American,97abebb2-43ee-4c67-9a2b-ecab22b2bef9
B10,Big Ten,67abf020-1c9b-499c-8d43-774c3298e3b7
B12,Big 12,d7e9a7a8-1b9b-4791-896a-f93a80d4cb4d
BE,Big East,3964a223-cf35-45ee-b309-f2dd7bf9ef57
BSky,Big Sky,f2599c9d-0334-4ef2-8337-f11bbbbc5f2a
BSth,Big South,be615a3c-4601-46ec-bd4c-a544e5c0d14c
BW,Big West,a2f13184-4ef6-409f-8d63-4edc717217df
CAA,Colonial Athletic Association,0e9b0ce9-2faf-4618-87d6-bebd2b6a24f5
CUSA,Conference USA,46cfc485-a89e-4611-a479-0a3eb5f63e44
Horz,Horizon League,cdae6665-b30b-49fe-8b22-5f00b38ba368
Ivy,Ivy League,8284d214-fe32-4543-99fa-ae26e1a2cd28
MAAC,Metro Atlantic Athletic Conference,7b928877-9674-429d-91fe-d93dbb9a28f5
MAC,Mid-American Conference,878f5095-939b-4634-ac7b-3e96f89ba22a
MEAC,Mid-Eastern Athletic Conference,fbb586d9-8a0c-4ec6-86f3-81e4ba88a569
MVC,Missouri Valley Conference,df045569-b34b-42b6-ba38-7eff0d33f1ad
MWC,Mountain West,8a53aa9f-5962-4d21-8ead-1b27ff1de284
NEC,Northeast Conference,86492f97-4d46-414c-9399-0ebddf31bf2a
OVC,Ohio Valley Conference,0c9400ca-5004-497c-ab97-36fdcbd5c8b3
P12,Pac-12,291b86de-ffc0-4af6-a75b-3f18ac8f0bfa
Pat,Patriot League,c1bfe777-91bd-4f54-9e10-242548bc75b1
SB,Sun Belt,a733f5b0-ae04-4fcf-ba10-2edaa8c194b2
SC,Southern Conference,6ac136e9-214b-4c20-baf8-e43aaeef924d
SEC,South Eastern Conference,b6ef72fa-43c0-4dde-b670-43b520e81fc9
SWAC,Southwestern Athletic Conference,f8067a07-33bd-42ea-be9e-76ffc10c81d1
Slnd,Southland Conference,c53b4e50-8df9-4b41-81db-c2ee44919669
Sum,Summit League,dd58a12e-08af-4e14-b647-a4c995c7d10c
WAC,Western Athletic Conference,04572407-bc4f-4bd2-bcb8-632117c1c87d
WCC,West Coast Conference,15a370cb-f5ca-4213-8114-8e23d280673c
