id,name,conference_alias
492f023b-5f93-413b-ba53-e384d2c8f233,Abilene Christian,Slnd
3e7db475-65d4-46b4-b533-0e11f1c79e53,Air Force,MWC
2476f2bb-e3dd-45d8-8a92-14c4e75b4ae9,Akron,MAC
7748158a-c87c-4300-9ed1-284c3fb07932,Alabama,SEC
7a322391-7279-4127-a06e-d336f8505325,Alabama A&M,SWAC
144f4e0f-08ae-48ae-bc4e-9062f24377d0,Alabama St.,SWAC
a815a4bf-eda6-49e2-844c-dc93817561e9,Albany,AE
2b5d6e0b-7cb4-48a4-bfe8-5a4708bff579,Alcorn St.,SWAC
003a1e4c-1cef-4db2-be63-c11cfdd73d3a,American,Pat
12ec839f-36a1-4ef9-835e-5c3dfb48cf96,Appalachian St.,SB
127b85e3-10a8-495c-a77e-f2ec4371a9cc,Arizona,P12
93f145aa-4d49-4062-8bde-1e22fd085d26,Arizona St.,P12
b7dacc2a-4b9d-4510-8557-0aa2075415d8,Arkansas,SEC
d7b7b608-e13d-4974-b6ed-ac0f8937ce16,Arkansas Pine Bluff,SWAC
e64fa907-1ea6-4205-a6ff-45dc47812037,Arkansas St.,SB
87f4d619-0ad9-4cd0-af13-09941333a6b0,Army,Pat
7a113c46-d478-4b90-9718-6ce4cf740178,Auburn,SEC
da11031d-5c80-4dd0-a16f-fb87cdbac1e9,Austin Peay,OVC
cf620c8d-ce2d-4cf3-8b19-8f98da4d4f53,BYU,WCC
2b9ad99e-fce5-4a30-a4c2-e5ff32246069,Ball St.,MAC
1a5f4f12-dff3-4a80-b93b-3d329fd10fcf,Baylor,B12
369357fd-18a6-47ce-b4a9-d7a44fcc5827,Bellarmine,ASun
b7003670-31f1-4832-8cc7-ac811355be27,Belmont,OVC
d55471bc-10c5-4e89-96bb-050e1f696578,Binghamton,AE
3ad26193-a80f-4c6f-b9a4-011575bf1fbf,Boise St.,MWC
83bc533b-da14-4631-b9ce-930b781267ac,Boston College,ACC
cb235237-4227-4b97-98d0-377a0bec7b87,Boston University,Pat
34baa54a-7d33-4bd3-ae56-575c36e316fd,Bowling Green,MAC
43dc942d-5b0e-4ced-898c-e12c465db838,Bradley,MVC
da349799-d73a-4da8-bb19-1f129d55fc33,Bryant,NEC
4c26fbd5-577f-4168-9ed8-7aad8a14cbe8,Bucknell,Pat
b05a7e44-edea-40d0-b201-b6f8a851a86a,Buffalo,MAC
9dbbba80-3e24-4daa-9cc0-cabb5702013c,Butler,BE
40305f22-d854-4a82-8e64-5228f925c876,Cal Baptist,WAC
233b1092-2c24-49df-b754-4804c948e699,Cal Poly,BW
0d6296c9-fb8e-449b-a88e-a73b7fb63566,Cal St. Bakersfield,BW
a7140600-7c44-437c-b9d3-178e15737df0,Cal St. Fullerton,BW
0d03baa0-12d2-42c2-85ce-e16a288323a0,Cal St. Northridge,BW
4123b49e-6d95-4997-9846-a558dd49d95b,California,P12
14de42d1-53ad-456e-856f-cdbf8b6547d2,Campbell,BSth
